Size_Opt,Adj_Opt,Ori_Opt,Adjacency,Orientation,Size,Simplicity,Rectangularity,Regularity,PA Ratio,Weighted_Fitness
0,1,0,0.6,0.5,0.5032679738562091,0.8125,0.9347222222222222,0.5701388888888889,0.8308307773675739,0.5464222353636901
0,1,0,0.6,0.75,0.5094827586206897,0.6625,0.8524305555555556,0.44131324404761907,0.7312758087117062,0.6033690658499234
0,1,0,0.6,0.75,0.41203703703703703,0.6124999999999999,0.828298611111111,0.5523003472222222,0.7757149901380671,0.5638859556494192
0,1,0,0.6,0.75,0.45481481481481484,0.75,0.9045014880952381,0.559545953798186,0.8168764406589082,0.582634825241183
0,1,0,0.6,0.75,0.4367243867243868,0.8125,0.9263392857142857,0.48580994897959184,0.8252146464646464,0.5750067288358324
0,1,0,0.6,0.75,0.6428571428571428,0.8541666666666666,0.9280092592592593,0.5532451499118165,0.8101003086419754,0.6428571428571428
0,1,0,0.8,0.5,0.5400383141762451,0.7166666666666666,0.8369791666666666,0.5801996527777777,0.7960564381351927,0.6297506352796627
0,1,0,0.6,0.5,0.43514492753623185,0.6541666666666666,0.8352182539682539,0.5805027636054422,0.7875533503177734,0.5241489671224905
0,1,0,0.4,0.75,0.46481481481481485,0.7875,0.9006076388888888,0.5666232638888888,0.8211111111111111,0.4714352793864454
0,1,0,0.4,0.5,0.4917529330572809,0.7023809523809523,0.8776785714285714,0.5406613166099773,0.7748046230326451,0.4427942238827999
