Constraint1,Constraint2,Constraint3,Adjacency,Orientation,Size,Simplicity,Rectangularity,Regularity,PA Ratio,Weighted_Fitness
None,adjacency,None,0.2,0.5,0.7055555555555556,0.8,0.9038773148148148,0.6809625771604939,0.8385942760942761,0.29812206572769956
None,adjacency,None,0.4,0.5,0.7083333333333334,0.84375,0.9352120535714286,0.634140625,0.86813281446838,0.4755244755244755
None,adjacency,None,0.2,0.5,0.6666666666666666,0.8833333333333333,0.9496527777777778,0.6514756944444444,0.8980725623582766,0.2962962962962963
None,adjacency,None,0.2,0.5,0.7388888888888889,0.8958333333333333,0.9583333333333334,0.6604166666666667,0.8746371882086168,0.29954954954954954
None,adjacency,None,0.4,0.5,0.6487373737373737,0.8402777777777778,0.9379464285714285,0.6643749999999999,0.8717206790123457,0.4683042428109192
None,orientation,None,0.6,1.0,0.7400000000000001,0.8208333333333333,0.9347222222222222,0.5267857142857142,0.8226396489112939,0.7036450079239303
None,orientation,None,0.8,1.0,0.7892857142857143,0.6833333333333333,0.8361111111111111,0.6563492063492063,0.7977490817263544,0.839107736117703
None,orientation,None,0.6,1.0,0.7592592592592592,0.6898809523809524,0.8520833333333333,0.5185019841269841,0.7725791074005359,0.7079136690647482
None,orientation,None,0.8,1.0,0.6544802867383512,0.7440476190476191,0.9145585317460317,0.5944851899092971,0.8295837442472058,0.7955560396470973
None,orientation,None,0.6,1.0,0.7527777777777778,0.7374999999999999,0.885,0.5809325396825397,0.8212972645440177,0.7064957636324136
None,adjacency,None,0.8,0.75,0.6333333333333334,0.7583333333333333,0.8870659722222223,0.5974913194444444,0.8371064027462837,0.7390599675850892
None,adjacency,None,1.0,0.75,0.5409090909090909,0.8333333333333333,0.9174479166666667,0.6029427083333333,0.834741512345679,0.7718918918918919
None,adjacency,None,0.8,0.5,0.5363636363636364,0.8125,0.8983333333333333,0.63921875,0.824520202020202,0.6284953395472702
None,adjacency,None,0.8,0.75,0.4890432098765432,0.8125,0.9323412698412699,0.6559956065759638,0.8597958715166507,0.6804870847387869
None,adjacency,None,0.8,0.75,0.45501443001443004,0.7291666666666666,0.8666666666666667,0.5733506944444444,0.7987087236587735,0.663232687508627
None,None,None,0.4,0.25,0.6724386724386724,0.7374999999999999,0.8842013888888889,0.55859375,0.8188750458095696,0.38142009412727645
None,None,None,0.4,0.5,0.769047619047619,0.725,0.8682291666666667,0.6916232638888888,0.8416496556709469,0.4819097351734427
None,None,None,0.4,0.5,0.7658730158730159,0.7583333333333333,0.8702380952380953,0.5120153061224489,0.8021017573696145,0.4815970056144728
None,None,None,0.2,0.5,0.7357142857142857,0.8333333333333333,0.9263888888888889,0.6072420634920634,0.8486953616769635,0.2994186046511628
None,None,None,0.2,0.5,0.7768115942028987,0.8208333333333333,0.9464285714285714,0.5971572656840514,0.8616052395476097,0.30103903397921933
None,None,None,0.6,0.25,0.7287878787878787,0.6458333333333333,0.8346230158730158,0.5421754535147392,0.7908681629217343,0.4594809743671389
None,None,None,0.4,0.5,0.7228174603174603,0.6666666666666666,0.818936011904762,0.47117222930839003,0.7438926681783824,0.47712910513735635
None,None,None,0.4,0.25,0.6944444444444443,0.7083333333333333,0.8583333333333334,0.5943055555555556,0.8178231292517006,0.38314176245210724
None,None,None,0.6,0.25,0.7055555555555556,0.9375,0.9732142857142857,0.5311224489795918,0.8839221294578437,0.45710857828434315
None,None,None,0.2,0.25,0.6555555555555556,0.8958333333333333,0.9635416666666666,0.568576388888889,0.8810489103048627,0.2576419213973799
None,adjacency,None,0.6,0.5,0.7666666666666666,0.675,0.8301339285714285,0.5435708971088435,0.741447992582275,0.6026200873362445
None,adjacency,None,0.6,0.5,0.8583333333333333,0.7916666666666666,0.8958333333333333,0.603125,0.8364273116654068,0.6155378486055777
None,adjacency,None,0.4,0.5,0.6782679738562091,0.6773809523809523,0.8286458333333333,0.5148003472222222,0.7771021477920829,0.47201296301560675
None,adjacency,None,0.6,0.5,0.8666666666666667,0.7374999999999999,0.891889880952381,0.6222597789115646,0.8336832649835272,0.616600790513834
None,adjacency,None,0.6,0.5,0.782057057057057,0.7583333333333333,0.9178819444444444,0.6212586805555556,0.8637274817334342,0.6049595416005266
None,adjacency,orientation,0.2,1.0,0.786111111111111,0.9375,0.9583333333333333,0.6965277777777777,0.919229410160146,0.3259429887705154
None,adjacency,orientation,0.2,1.0,0.7843434343434343,0.7708333333333333,0.9030555555555555,0.6436111111111111,0.8474988840424447,0.32586686250852437
