Seed,Size_Opt,Adj_Opt,Ori_Opt,Adjacency,Orientation,Size,Simplicity,Rectangularity,Regularity,PA Ratio,Weighted_Fitness
1,1,0,0,0.4,0.5,0.9408119658119659,0.6666666666666666,0.8432911706349207,0.515814377834467,0.7520405982905983,0.49609870144502977
1,1,0,0,0.4,0.25,0.8774170274170275,0.6333333333333333,0.8172619047619047,0.6014859693877551,0.7831518788311995,0.3944886423537617
1,1,0,0,0.4,0.5,0.8777777777777778,0.6749999999999999,0.8856169871794872,0.5428146572978303,0.785112989406137,0.4914463452566097
1,1,0,0,0.2,0.5,0.8185897435897437,0.6020833333333333,0.9046875000000001,0.6832899305555555,0.6698554915403029,0.3025349443259891
1,1,0,0,0.4,0.5,0.9420289855072465,0.5982142857142857,0.8079861111111111,0.5931597222222222,0.7163765437304399,0.4961832061068702
1,1,0,0,0.8,0.25,0.8420634920634921,0.7291666666666666,0.8392857142857143,0.5026817602040816,0.7541615599407807,0.5203212162079324
1,1,0,0,0.4,0.25,0.9555555555555556,0.55,0.7184027777777777,0.48299961419753085,0.6305610633414586,0.39814814814814814
1,1,0,0,0.8,0.5,0.8662087912087912,0.6875,0.8208333333333333,0.5582986111111111,0.7800262381148162,0.7074066803152257
1,1,0,0,0.6,0.75,0.9722222222222223,0.7791666666666666,0.8113715277777778,0.5587673611111111,0.7635909441638609,0.7023411371237458
1,1,0,0,0.4,0.75,0.8981481481481483,0.6958333333333333,0.8261111111111111,0.5360069444444444,0.7420487705336191,0.5371481310567605
1,1,0,0,0.4,0.5,0.9348484848484849,0.5875,0.7989583333333333,0.5421874999999999,0.7023076923076923,0.495681863828078
1,1,0,0,0.4,0.5,0.9055555555555556,0.5791666666666666,0.77,0.6066666666666667,0.714462425686202,0.4935654806964421
1,1,0,0,0.4,0.75,0.8551587301587302,0.7875,0.8604166666666666,0.5784375,0.7833730158730159,0.5331409133079064
1,1,0,0,0.4,0.75,0.8260752688172044,0.6273809523809524,0.8018973214285714,0.5398021187641723,0.7086179037690027,0.5302313543359167
1,1,0,0,0.4,0.5,0.9416666666666668,0.644047619047619,0.8036458333333334,0.5646701388888888,0.75053145087236,0.4961580680570801
1,1,0,0,0.4,0.25,0.8972667175184338,0.6958333333333333,0.8392857142857143,0.7457493622448979,0.8050865326506352,0.39547201104961544
1,1,0,0,0.4,0.5,0.7996610669024462,0.7083333333333333,0.8055679563492064,0.4629292446145125,0.7250587858417529,0.4848173503233084
1,1,0,0,0.4,0.5,0.8876984126984127,0.6749999999999999,0.8187500000000001,0.4376128472222222,0.730809940108454,0.4922162935254964
1,1,0,0,0.4,0.5,0.8095959595959595,0.681547619047619,0.8036324786324787,0.4526255684308569,0.6892653890546883,0.48572077872888414
1,1,0,0,0.8,0.25,0.7886056971514241,0.675,0.8532242063492064,0.5516445223922902,0.7353340142301181,0.5149290259422418
1,1,0,0,0.4,0.75,0.8628787878787879,0.6458333333333333,0.8052083333333333,0.5585416666666667,0.7468929100339357,0.5338853951017539
1,1,0,0,0.2,0.25,0.8431818181818181,0.669047619047619,0.8107142857142857,0.5204974489795919,0.7325566724240967,0.26340078097266595
1,1,0,0,0.6,0.5,0.9320707070707072,0.7375,0.8416666666666667,0.4654885912698412,0.7428918766880805,0.6243938197812112
1,1,0,0,0.6,0.5,0.8366666666666666,0.5708333333333333,0.8069940476190476,0.6087239583333334,0.7391053834610278,0.6126932465419039
1,1,0,0,0.2,0.75,0.9388888888888888,0.669047619047619,0.7748263888888889,0.5007638888888889,0.6888271604938272,0.3226216990136812
1,1,0,0,0.4,0.75,0.8361111111111111,0.7375,0.8125,0.5150510204081633,0.7160994703764434,0.5312545962641565
1,1,0,0,0.4,0.75,0.8805555555555555,0.7583333333333333,0.8385416666666666,0.5714781746031745,0.7347057672165898,0.5355483598479516
1,1,0,0,0.4,0.75,0.8487067026540712,0.656547619047619,0.8192708333333334,0.4892361111111111,0.727953219496676,0.5325099536466716
1,1,0,0,0.8,0.5,0.8388888888888889,0.6541666666666666,0.8074032738095238,0.4588708191609977,0.7346090960106111,0.7027341477603258
1,1,0,0,0.4,0.75,0.8666666666666667,0.5166666666666666,0.6950999149659863,0.5245712868480725,0.6331272943827057,0.5342465753424658
1,1,0,0,0.4,0.25,0.8302723638180908,0.7374999999999999,0.8476686507936508,0.5821132723922902,0.7986094800346174,0.3919868462769212
1,1,0,0,0.4,0.5,0.7940972222222222,0.7916666666666666,0.9092261904761905,0.5890288407029478,0.8204447582332198,0.48430303351156756
1,1,0,0,0.6,0.25,0.9615384615384616,0.5752976190476191,0.70078125,0.4699305555555555,0.6595634727359673,0.47770700636942676
1,1,0,0,0.4,0.25,0.9166666666666666,0.6458333333333333,0.745610119047619,0.5695572916666667,0.7185825525969757,0.39639639639639646
1,1,0,0,0.4,0.5,0.8333333333333334,0.6458333333333333,0.8318452380952381,0.44085707199546487,0.7392481634527089,0.48780487804878053
1,1,0,0,0.6,0.5,0.8396745230078562,0.6416666666666666,0.8216765873015873,0.6326796343537415,0.7870533543244166,0.6130953193930372
1,1,0,0,0.4,0.0,0.8384502923976608,0.7083333333333333,0.86375,0.5525520833333334,0.7787556923595885,3.999999975229294e-09
1,1,0,0,0.6,0.5,0.8424022837066315,0.6208333333333333,0.7926339285714286,0.617594954648526,0.7383332776114994,0.6134579200136455
1,1,0,0,0.4,0.75,0.9348484848484849,0.6458333333333333,0.7955729166666666,0.37460937499999997,0.631814738292011,0.5403196380354667
1,1,0,0,0.4,0.5,0.9055555555555556,0.7107142857142856,0.8163194444444444,0.5249228395061729,0.749754612832007,0.4935654806964421
1,1,0,0,0.4,0.75,0.9722222222222223,0.7166666666666667,0.815625,0.4961371527777778,0.723494031221304,0.5433376455368694
1,1,0,0,0.6,0.5,0.9028222730739893,0.7291666666666666,0.8592261904761904,0.5287742701247166,0.7659785772373184,0.6210243719010432
1,1,0,0,0.4,0.5,0.8944444444444445,0.675,0.7912760416666667,0.602109375,0.7555727086451174,0.49273144605967867
1,1,0,0,0.6,0.5,0.9412280701754385,0.6083333333333334,0.8283110119047619,0.5096859056122449,0.6897763270140893,0.6254128618612784
1,1,0,0,0.6,0.5,0.7944444444444446,0.5583333333333333,0.7236458333333333,0.5533333333333333,0.6439236111111111,0.6067892503536068
