Adj_Optimized,Orientation_Optimized,Size_Optimized,Adjacency,Orientation,Size,Simplicity,Rectangularity,Regularity,PA Ratio,Weighted_Fitness
0,1,1,0.4,1.0,0.5525000000000001,0.6833333333333333,0.8841641865079365,0.6467703018707482,0.841820987654321,0.5121668597914253
0,1,1,0.6,1.0,0.6336773305813553,0.7916666666666666,0.925,0.6381944444444444,0.8823698422589115,0.6766559631202114
0,1,1,0.4,1.0,0.5369750132908028,0.725,0.9009548611111111,0.5953038194444444,0.850819883930003,0.5087580119124073
0,1,1,0.6,1.0,0.6246031746031746,0.8333333333333333,0.9172619047619048,0.604375,0.8620487685815066,0.6740418242809221
0,1,1,0.6,1.0,0.5046497584541062,0.6666666666666666,0.84609375,0.5497404691043084,0.7725531462585034,0.633421971816752
0,1,1,0.4,0.75,0.6510482180293501,0.7708333333333333,0.9159722222222222,0.5672916666666667,0.8520721029937074,0.5083032687940312
0,1,1,0.6,1.0,0.7444444444444445,0.9166666666666666,0.9708333333333333,0.772361111111111,0.9414668572318734,0.7046450482033305
0,1,1,0.4,1.0,0.7332611832611833,0.8541666666666666,0.9076388888888889,0.6100347222222222,0.8505172902494331,0.5431999786204869
0,1,1,0.6,1.0,0.7638297872340426,0.7166666666666667,0.8742559523809523,0.6581689342403627,0.8421504103535353,0.708902418956722
0,1,1,0.6,1.0,0.7062770562770563,0.7875,0.9113095238095238,0.7103089569160997,0.8830093073516837,0.6957479699354999
0,1,1,0.6,1.0,0.7999999999999999,0.7083333333333333,0.8500000000000001,0.5458333333333334,0.801367621926334,0.7164179104477612
0,1,1,0.6,1.0,0.7985911749069644,0.5583333333333333,0.7783333333333333,0.6298611111111112,0.7594832159983675,0.7161350684022653
0,1,1,0.6,1.0,0.7640878278809314,0.6541666666666667,0.8482638888888889,0.6602083333333334,0.8192866161616161,0.7089579703820346
0,1,1,0.6,1.0,0.7995726495726495,0.7291666666666666,0.8956597222222222,0.6501736111111112,0.855049899244975,0.7163321953865297
0,1,1,0.6,1.0,0.7615079365079365,0.7791666666666666,0.9072916666666666,0.6196825396825396,0.8680693244546058,0.7084012674193251
0,1,0,0.4,0.25,0.7051948051948052,0.6,0.7828125,0.6243700396825397,0.7670870338876291,0.38394908962347535
0,1,0,0.2,0.0,0.688888888888889,0.7166666666666667,0.8571428571428572,0.48857709750566897,0.7501003086419753,3.9999999541935495e-09
0,1,0,0.6,0.0,0.5763888888888888,0.7708333333333333,0.9135416666666667,0.6565277777777778,0.8868518518518519,3.9999999797269085e-09
0,1,0,0.2,0.0,0.6976190476190477,0.7708333333333333,0.8489583333333334,0.6057291666666667,0.8112821662564628,3.999999954266212e-09
0,1,0,0.4,0.0,0.6638888888888889,0.6958333333333333,0.8311507936507936,0.6459467120181406,0.800139788339089,3.999999973974896e-09
0,0,0,0.4,0.25,0.7111111111111111,0.8541666666666666,0.8994047619047619,0.5849631519274376,0.8222635445362718,0.3843843843843844
0,0,0,0.6,0.25,0.5166666666666666,0.8125,0.9059027777777777,0.5783680555555555,0.8098185941043083,0.4315545243619489
0,0,0,0.4,0.25,0.6920634920634922,0.6749999999999999,0.8583333333333334,0.6070436507936507,0.8153161367852926,0.38296003513394816
0,0,0,0.6,0.25,0.8161616161616161,0.7708333333333333,0.9125000000000001,0.6105034722222222,0.8531717504877678,0.467367203316302
0,0,0,0.6,0.25,0.6351712614870509,0.7583333333333333,0.865625,0.4176587301587301,0.7110432608917457,0.4490491002874355
0,0,1,0.4,1.0,0.6601449275362319,0.8,0.9228298611111111,0.5186024305555555,0.8361334302622181,0.5322816243061642
0,0,1,0.4,1.0,0.6148504273504273,0.8333333333333333,0.9287847222222222,0.5040451388888889,0.8006162974831805,0.5244930508088402
0,0,1,0.6,1.0,0.6124999999999999,0.7708333333333333,0.9010416666666667,0.42807539682539686,0.757575817440536,0.6704675028506271
0,0,1,0.4,0.75,0.5732323232323232,0.7916666666666666,0.9201388888888888,0.4801215277777778,0.8052343680049308,0.4951826940556262
0,0,1,0.4,1.0,0.5681818181818182,0.9166666666666666,0.96875,0.5232638888888889,0.8496355302145345,0.5154639175257733
0,0,0,0.8,0.0,0.8194444444444445,0.7708333333333333,0.8880704365079365,0.6198084963151927,0.8407805765578201,3.999999985118645e-09
0,0,0,0.6,0.0,0.7777777777777777,0.7708333333333333,0.8748015873015873,0.5704024943310657,0.820131399708073,3.99999998152381e-09
0,0,0,0.6,0.0,0.8805555555555555,0.7083333333333333,0.8778422619047619,0.6438600127551021,0.8382743014561196,3.9999999821240804e-09
0,0,0,0.4,0.0,0.7745614035087719,0.6,0.7897321428571429,0.5466291099773242,0.735093537414966,3.999999974835788e-09
0,0,0,0.6,0.0,0.6722222222222222,0.6190476190476191,0.7973214285714286,0.6440943877551021,0.7768205741318566,3.999999980716254e-09
0,0,1,0.6,1.0,0.699206349206349,0.75,0.8847222222222222,0.6548611111111111,0.8475160379042955,0.6940195627913084
0,0,1,0.6,1.0,0.7347222222222222,0.6854166666666666,0.8738095238095238,0.6528557256235827,0.8278808404382829,0.7024455018258271
0,0,1,0.4,1.0,0.6597222222222222,0.8541666666666666,0.9506944444444444,0.7319097222222222,0.9222247417485513,0.5322128851540616
0,0,1,0.4,1.0,0.6107395020438499,0.8333333333333333,0.9370238095238095,0.7233673469387755,0.8966928386368321,0.5237412364563416
0,0,1,0.6,1.0,0.6588235294117647,0.875,0.9555555555555556,0.6309722222222223,0.8813618827160493,0.6836215666327569
0,1,1,0.6,1.0,0.7679951690821256,0.7375,0.8860416666666666,0.6040104166666667,0.8280297304106827,0.7097956412140605
0,1,1,0.6,1.0,0.6919896640826874,0.8416666666666667,0.8967361111111112,0.6501601080246913,0.8527551020408164,0.6922281578493883
0,1,1,0.4,1.0,0.7847649346058677,0.875,0.9357638888888888,0.5691049382716049,0.8474149659863945,0.5498835884480111
0,1,1,0.8,1.0,0.7673881673881674,0.6958333333333333,0.8890046296296297,0.6260956790123456,0.8394905832703452,0.8327917629096034
0,1,1,0.4,1.0,0.7541666666666668,0.7708333333333333,0.9069444444444444,0.5400462962962963,0.8299489795918367,0.5460030165912518
0,0,1,0.4,1.0,0.6962213225371121,0.6333333333333333,0.822296626984127,0.5579343820861677,0.7650853548107336,0.537900114690856
0,0,1,0.4,1.0,0.7658730158730159,0.675,0.8267609126984127,0.5202558106575964,0.7354485511682481,0.5475177304964539
0,0,1,0.2,1.0,0.7388888888888889,0.6666666666666666,0.8649305555555555,0.630625,0.8342159549004787,0.32379793061472917
0,0,1,0.4,1.0,0.6527777777777778,0.7708333333333333,0.8558333333333334,0.6322222222222222,0.8207986111111111,0.5310734463276836
0,0,1,0.4,1.0,0.7248538011695906,0.7583333333333333,0.8866666666666666,0.5737698412698413,0.8055116304250503,0.5420356401005795
