Seed,Size_Opt,Adj_Opt,Ori_Opt,Adjacency,Orientation,Size,Simplicity,Rectangularity,Regularity,PA Ratio,Weighted_Fitness
1,0,1,1,0.6,1.0,0.736111111111111,0.7916666666666666,0.8784722222222222,0.5486111111111112,0.7914197530864198,0.7027624309392265
1,0,1,1,0.6,1.0,0.8137681159420289,0.8125,0.940625,0.596547619047619,0.8680657215059271,0.7191418965793266
1,0,1,1,0.6,1.0,0.7777777777777778,0.6833333333333333,0.8491319444444445,0.6552430555555556,0.8028924025609632,0.7118644067796611
1,0,1,1,0.6,1.0,0.7444444444444445,0.8333333333333333,0.9416666666666667,0.6672222222222222,0.8863566165676555,0.7046450482033305
1,0,1,1,0.4,1.0,0.7413632119514473,0.6333333333333333,0.8354166666666667,0.5745833333333333,0.7851040879314689,0.5443016281062554
1,0,1,1,0.6,1.0,0.5482895457033388,0.6541666666666666,0.8555059523809524,0.5856363378684807,0.8180692828095425,0.6496472950278124
1,0,1,1,0.6,1.0,0.7708174421561148,0.7791666666666666,0.9139880952380952,0.5500028344671202,0.8086061371288644,0.7103966256672875
1,0,1,1,0.6,1.0,0.7027777777777778,0.7916666666666666,0.8958333333333334,0.6597222222222222,0.8698979591836735,0.6948958571755551
1,0,1,1,0.6,1.0,0.6912719876106603,0.6416666666666666,0.8556547619047619,0.6290107709750568,0.818110907050301,0.6920484752884596
1,0,1,1,0.4,1.0,0.7115079365079365,0.7291666666666666,0.8440476190476189,0.6254280045351475,0.8099621849811244,0.5401415875884923
1,0,1,1,0.6,1.0,0.8194444444444445,0.6666666666666666,0.8524305555555556,0.675,0.8292317110498929,0.7202441505595117
1,0,1,1,0.6,1.0,0.7666666666666666,0.6875,0.8159722222222222,0.640625,0.7861477145189266,0.7095115681233933
1,0,1,1,0.6,1.0,0.6543650793650794,0.6749999999999999,0.8440972222222223,0.6959027777777778,0.8270821165166402,0.6824154222850639
1,0,1,1,0.6,1.0,0.6992063492063493,0.8833333333333333,0.9541666666666666,0.5982341269841269,0.839515477908335,0.6940195627913084
1,0,1,1,0.6,1.0,0.716089466089466,0.7916666666666666,0.904513888888889,0.5486111111111112,0.8326603048626857,0.6981038070396529
1,0,1,1,0.6,1.0,0.73989898989899,0.8541666666666666,0.9312499999999999,0.65,0.8822780266070309,0.7036221733039824
1,0,1,1,0.6,1.0,0.6965656565656566,0.6,0.8072916666666667,0.5625,0.7747061524334251,0.6933672956396421
