Size_Opt,Adj_Opt,Ori_Opt,Adjacency,Orientation,Size,Simplicity,Rectangularity,Regularity,PA Ratio,Weighted_Fitness
0,1,1,0.4,0.75,0.5504830917874396,0.6666666666666666,0.8452256944444445,0.5698003472222222,0.7973692735435159,0.4908023904811471
0,1,1,0.4,0.75,0.6448412698412698,0.6541666666666666,0.8007440476190477,0.5342235331632653,0.7621748229940037,0.5073500715493691
0,1,1,0.4,0.75,0.6844516594516595,0.6666666666666666,0.83125,0.6128472222222221,0.8073398760330579,0.5131917943770611
0,1,1,0.4,0.75,0.6590277777777778,0.8833333333333333,0.9563492063492063,0.7177437641723357,0.9113613270339876,0.5095074045903987
0,1,1,0.4,1.0,0.5615384615384615,0.7916666666666666,0.9223214285714285,0.6857709750566894,0.8733936067539964,0.5140845070422535
0,1,1,0.4,1.0,0.6745726495726497,0.8208333333333333,0.9288194444444444,0.5445436507936507,0.8474287869417739,0.5345864025061384
0,1,1,0.4,1.0,0.6303030303030304,0.6416666666666666,0.8047123015873017,0.6094883786848072,0.7659429053990743,0.5272496831432193
0,1,1,0.4,0.75,0.7941077441077441,0.6666666666666666,0.8473611111111111,0.49271081349206347,0.7422085418189314,0.5268281786621744
0,1,1,0.4,0.75,0.7176767676767676,0.6666666666666666,0.8205555555555555,0.5723784722222223,0.7767984524694481,0.5176842041349161
0,1,1,0.4,1.0,0.6615079365079365,0.6666666666666666,0.8377604166666667,0.591171875,0.7919288548752834,0.5325027950806581
0,1,1,0.2,1.0,0.6023809523809524,0.7916666666666666,0.8837301587301587,0.4557823129251701,0.7582899704111825,0.31595379331876366
0,1,1,0.2,1.0,0.6861111111111112,0.7583333333333333,0.8669444444444445,0.6069444444444445,0.7816023875114785,0.32109197270068246
0,1,1,0.0,1.0,0.614007475900059,0.6124999999999999,0.827827380952381,0.5509580498866213,0.7883933666441783,1.9999999973713554e-09
0,1,1,0.6,1.0,0.746221322537112,0.7166666666666667,0.8301587301587302,0.583366087175611,0.7833428300094967,0.7050423159270456
0,1,1,0.2,1.0,0.6336773305813553,0.8208333333333333,0.9083333333333333,0.5796230158730158,0.8153713906744209,0.3180133016258022
0,1,1,0.2,1.0,0.44825447457026407,0.7916666666666666,0.9141369047619048,0.6638166099773242,0.8725333511886543,0.30232314932397103
0,1,1,0.0,1.0,0.5615384615384614,0.6833333333333333,0.8699404761904762,0.6461876417233561,0.8332704102455184,1.9999999972191786e-09
0,1,1,0.2,1.0,0.6713235294117647,0.6666666666666666,0.8368055555555556,0.6393402777777778,0.8099501606198034,0.3202665965096904
0,1,1,0.2,1.0,0.6210012210012209,0.7999999999999999,0.9133779761904761,0.5635338718820861,0.8021836419753087,0.3172009479855307
0,1,1,0.4,1.0,0.633187134502924,0.75,0.9097222222222222,0.5970337301587302,0.8433131354776375,0.5277523913970633
0,1,0,0.4,0.75,0.6686507936507936,0.7708333333333333,0.8883928571428572,0.4844387755102041,0.7930075641750425,0.5109286165508529
0,1,0,0.6,0.5,0.778373015873016,0.7291666666666666,0.8432539682539683,0.4002356150793651,0.7221885521885522,0.6044063270336895
0,1,0,0.2,0.5,0.7416666666666667,0.6458333333333333,0.834047619047619,0.5885204081632653,0.7840616710029589,0.2996632996632997
0,1,0,0.4,0.5,0.501010101010101,0.7708333333333333,0.8453125,0.5455729166666666,0.7974845679012346,0.44464365755266694
0,1,0,0.2,0.75,0.6955555555555556,0.8333333333333333,0.8668650793650794,0.5622845804988663,0.8078664336104813,0.31320880587058036
0,1,0,0.2,0.5,0.611111111111111,0.7291666666666666,0.8395833333333333,0.5707465277777778,0.8037424557904078,0.29333333333333333
0,1,0,0.4,0.5,0.6857142857142858,0.8125,0.9277777777777778,0.5474801587301588,0.8272222222222222,0.4729064039408868
0,1,0,0.6,0.75,0.7861111111111111,0.8125,0.8807291666666666,0.6192534722222223,0.8374798437893676,0.6735422451408172
0,1,0,0.4,0.75,0.6773504273504273,0.7374999999999999,0.8445585317460318,0.5571772250566893,0.7810184397833206,0.5121852699609534
0,1,0,0.4,0.5,0.6166666666666666,0.6666666666666666,0.8200000000000001,0.6042013888888889,0.7930017624971629,0.4639498432601881
0,0,0,0.4,0.75,0.8523809523809525,0.8125,0.9208333333333334,0.5490451388888888,0.8457424190491123,0.5328702555197222
0,0,0,0.4,0.75,0.7569444444444443,0.6190476190476191,0.7984375,0.5765017361111111,0.7599936581684001,0.522572912504994
0,0,0,0.4,0.75,0.7754901960784313,0.875,0.9456845238095238,0.5382794784580499,0.833179012345679,0.5247387915307645
0,0,0,0.4,0.75,0.5694677871148459,0.656547619047619,0.8211805555555556,0.5335149163832199,0.7512461419753086,0.49447676186229406
0,0,0,0.4,0.75,0.7598484848484849,0.75,0.8937499999999999,0.6708680555555556,0.8563180974869287,0.5229178433331886
0,0,0,0.4,0.5,0.6319703243616287,0.6770833333333333,0.8364583333333333,0.5506249999999999,0.7831642667397538,0.46607266122285385
0,0,0,0.4,0.75,0.8444444444444446,0.7083333333333333,0.8869667658730158,0.5758175666099773,0.8310790522208271,0.5320886814469078
0,0,0,0.4,0.5,0.6513888888888889,0.8208333333333333,0.88,0.5660416666666667,0.8166300094275245,0.46864851361478893
0,0,0,0.2,0.5,0.7888888888888889,0.9583333333333333,0.9791666666666667,0.5026785714285714,0.8578821058190647,0.3014861995753716
0,0,0,0.6,0.75,0.7004901960784314,0.6833333333333333,0.8155555555555556,0.5802777777777778,0.7697167302795009,0.6563576513817653
0,0,0,0.4,0.25,0.85,0.6666666666666666,0.8333333333333334,0.5032684948979592,0.7598728764921947,0.3930635838150289
0,0,0,0.6,0.5,0.8935897435897435,0.875,0.9140625,0.42265625,0.7854600474831805,0.6199229172843166
0,0,0,0.4,0.25,0.8456349206349206,0.7291666666666666,0.8803769841269842,0.6758170351473923,0.8388201447791858,0.3928291626342228
0,0,0,0.8,0.25,0.6159003831417625,0.7916666666666666,0.9142857142857144,0.5429166666666667,0.8178038762183784,0.4923901598545037
0,0,0,0.6,0.25,0.7219841269841268,0.75,0.8900049603174602,0.5388942035147393,0.8196268237934905,0.4587994990207368
0,0,0,0.6,0.25,0.8688422688422688,0.6041666666666666,0.7856274801587301,0.5423687287414967,0.740576054460087,0.47145959088449624
0,0,0,0.8,0.0,0.7818181818181819,0.6749999999999999,0.8516687925170068,0.5058638038548753,0.7561966546260377,3.999999984883721e-09
0,0,0,0.8,0.0,0.7117521367521368,0.7666666666666666,0.9184027777777778,0.5673611111111111,0.838360260770975,3.999999984380067e-09
0,0,0,0.6,0.25,0.7127525252525254,0.8416666666666667,0.9255208333333333,0.5099826388888888,0.8158471074380165,0.4578573842514363
0,0,0,0.4,0.5,0.832142857142857,0.75,0.8958829365079365,0.5761486678004535,0.8294394378230334,0.4877027734170591
0,0,1,0.6,1.0,0.6950396825396825,0.7083333333333333,0.8651041666666667,0.6641319444444445,0.8370023148148149,0.6929886743929178
0,0,1,0.4,1.0,0.6875,0.8958333333333333,0.9541666666666667,0.6102083333333334,0.8909750566893424,0.5365853658536585
0,0,1,0.2,1.0,0.6456349206349206,0.7166666666666667,0.8723214285714285,0.5532121598639456,0.7983289072439506,0.31875397952686485
0,0,1,0.2,1.0,0.792156862745098,0.7083333333333333,0.8424479166666667,0.5453559027777778,0.7616666666666667,0.32620104965684293
0,0,1,0.4,1.0,0.6526570048309178,0.625,0.8276041666666667,0.6310378086419752,0.7916511915521239,0.5310534591194969
0,0,1,0.4,1.0,0.7345598845598845,0.6333333333333333,0.815625,0.6889583333333333,0.8017361111111111,0.5433778987537694
0,0,1,0.8,1.0,0.6797619047619047,0.875,0.9552083333333334,0.5657837301587301,0.8524798437893676,0.8046503434912805
0,0,1,0.4,1.0,0.6950396825396825,0.8541666666666666,0.9552083333333333,0.8178125,0.9361260707986898,0.5377235397958401
0,0,1,0.4,1.0,0.6903318903318904,0.75,0.8927083333333333,0.814513888888889,0.8856558641975308,0.5370152101925129
0,0,1,0.6,1.0,0.6791666666666667,0.5916666666666666,0.8188492063492063,0.5716291099773243,0.7797079119373491,0.6889749911940825
0,1,0,0.4,0.25,0.525,0.7458333333333333,0.8675,0.6239583333333333,0.8133871882086168,0.3668122270742358
0,1,0,0.8,0.5,0.45050505050505046,0.7041666666666666,0.8413888888888889,0.6279861111111111,0.7897114830015263,0.595261928595262
0,1,0,0.6,0.5,0.5325825825825826,0.6833333333333333,0.8332291666666667,0.531953125,0.7654180839002267,0.554709899390085
0,1,0,0.4,0.75,0.5315891472868216,0.7708333333333333,0.8755208333333333,0.5917621527777779,0.7936533131771226,0.48694468689438875
0,1,0,0.6,0.75,0.658187134502924,0.7190476190476189,0.8113095238095238,0.5966439909297052,0.7818883826031393,0.6466223009527458
0,1,0,0.4,0.25,0.3941919191919192,0.6625,0.7945684523809523,0.5155117984693878,0.7393203129550115,0.34671553112332726
0,1,0,0.4,0.75,0.5983716475095785,0.6729166666666666,0.824702380952381,0.5253571428571429,0.7643494548542625,0.49971669122009427
0,1,0,0.4,0.75,0.6333333333333333,0.6565476190476189,0.8044642857142857,0.5630734481292516,0.7588767291926632,0.5055432372505543
